goos: windows
goarch: amd64
pkg: github.com/tensorfoundrylabs/velocity/benchmarks
cpu: AMD Ryzen 9 5950X 16-Core Processor            
BenchmarkLibraries/velocity/Info_NoFields-32         	85594147	        29.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/velocity/Info_NoFields-32         	80456725	        29.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/velocity/Info_NoFields-32         	86362621	        29.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/velocity/Info_ThreeFields-32      	34839208	        63.27 ns/op	      16 B/op	       1 allocs/op
BenchmarkLibraries/velocity/Info_ThreeFields-32      	36943423	        64.32 ns/op	      16 B/op	       1 allocs/op
BenchmarkLibraries/velocity/Info_ThreeFields-32      	36561844	        63.26 ns/op	      16 B/op	       1 allocs/op
BenchmarkLibraries/velocity/With_TwoFields-32        	14805208	       157.1 ns/op	     240 B/op	       4 allocs/op
BenchmarkLibraries/velocity/With_TwoFields-32        	15579883	       154.1 ns/op	     240 B/op	       4 allocs/op
BenchmarkLibraries/velocity/With_TwoFields-32        	15539491	       157.5 ns/op	     240 B/op	       4 allocs/op
BenchmarkLibraries/velocity/Info_TenFields-32        	14773030	       162.7 ns/op	      96 B/op	       6 allocs/op
BenchmarkLibraries/velocity/Info_TenFields-32        	14853267	       166.6 ns/op	      96 B/op	       6 allocs/op
BenchmarkLibraries/velocity/Info_TenFields-32        	15082424	       165.7 ns/op	      96 B/op	       6 allocs/op
BenchmarkLibraries/velocity/Accumulated_10Fields-32  	66499862	        36.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/velocity/Accumulated_10Fields-32  	64296448	        36.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/velocity/Accumulated_10Fields-32  	67570230	        36.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/velocity/MixedFieldTypes-32       	17910687	       137.5 ns/op	      72 B/op	       4 allocs/op
BenchmarkLibraries/velocity/MixedFieldTypes-32       	18080661	       137.2 ns/op	      72 B/op	       4 allocs/op
BenchmarkLibraries/velocity/MixedFieldTypes-32       	17889300	       137.5 ns/op	      72 B/op	       4 allocs/op
BenchmarkLibraries/velocity/ErrorField-32            	35768150	        67.72 ns/op	      16 B/op	       1 allocs/op
BenchmarkLibraries/velocity/ErrorField-32            	35847111	        67.27 ns/op	      16 B/op	       1 allocs/op
BenchmarkLibraries/velocity/ErrorField-32            	34443118	        67.36 ns/op	      16 B/op	       1 allocs/op
BenchmarkLibraries/velocity/LargeMessage-32          	67576128	        36.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/velocity/LargeMessage-32          	62650262	        37.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/velocity/LargeMessage-32          	66627244	        37.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/velocity/Parallel_4-32            	41544054	        58.88 ns/op	      16 B/op	       1 allocs/op
BenchmarkLibraries/velocity/Parallel_4-32            	41392797	        59.55 ns/op	      16 B/op	       1 allocs/op
BenchmarkLibraries/velocity/Parallel_4-32            	41421016	        59.07 ns/op	      16 B/op	       1 allocs/op
BenchmarkLibraries/velocity/Parallel_16-32           	41088009	        56.25 ns/op	      16 B/op	       1 allocs/op
BenchmarkLibraries/velocity/Parallel_16-32           	42436866	        56.03 ns/op	      16 B/op	       1 allocs/op
BenchmarkLibraries/velocity/Parallel_16-32           	38637823	        56.39 ns/op	      16 B/op	       1 allocs/op
BenchmarkLibraries/zap/Info_NoFields-32              	10592943	       225.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zap/Info_NoFields-32              	10737481	       221.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zap/Info_NoFields-32              	10986098	       220.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zap/Info_ThreeFields-32           	 5262182	       457.8 ns/op	     193 B/op	       1 allocs/op
BenchmarkLibraries/zap/Info_ThreeFields-32           	 5288566	       463.5 ns/op	     193 B/op	       1 allocs/op
BenchmarkLibraries/zap/Info_ThreeFields-32           	 5196961	       476.9 ns/op	     193 B/op	       1 allocs/op
BenchmarkLibraries/zap/With_TwoFields-32             	 1480431	      1554 ns/op	    1432 B/op	       6 allocs/op
BenchmarkLibraries/zap/With_TwoFields-32             	 1716304	      1395 ns/op	    1432 B/op	       6 allocs/op
BenchmarkLibraries/zap/With_TwoFields-32             	 1772455	      1369 ns/op	    1432 B/op	       6 allocs/op
BenchmarkLibraries/zap/Info_TenFields-32             	 2567792	      1019 ns/op	     708 B/op	       1 allocs/op
BenchmarkLibraries/zap/Info_TenFields-32             	 2184574	      1084 ns/op	     708 B/op	       1 allocs/op
BenchmarkLibraries/zap/Info_TenFields-32             	 2255178	      1028 ns/op	     708 B/op	       1 allocs/op
BenchmarkLibraries/zap/Accumulated_10Fields-32       	10894990	       223.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zap/Accumulated_10Fields-32       	10843056	       225.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zap/Accumulated_10Fields-32       	10646192	       222.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zap/MixedFieldTypes-32            	 2635112	       934.8 ns/op	     515 B/op	       1 allocs/op
BenchmarkLibraries/zap/MixedFieldTypes-32            	 2716516	       884.3 ns/op	     515 B/op	       1 allocs/op
BenchmarkLibraries/zap/MixedFieldTypes-32            	 2759426	       880.6 ns/op	     515 B/op	       1 allocs/op
BenchmarkLibraries/zap/ErrorField-32                 	 7007662	       328.3 ns/op	      64 B/op	       1 allocs/op
BenchmarkLibraries/zap/ErrorField-32                 	 7491758	       335.3 ns/op	      64 B/op	       1 allocs/op
BenchmarkLibraries/zap/ErrorField-32                 	 7250038	       339.0 ns/op	      64 B/op	       1 allocs/op
BenchmarkLibraries/zap/LargeMessage-32               	 2473371	       936.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zap/LargeMessage-32               	 2355520	       960.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zap/LargeMessage-32               	 2331948	      1030 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zap/Parallel_4-32                 	16484682	       123.4 ns/op	     194 B/op	       1 allocs/op
BenchmarkLibraries/zap/Parallel_4-32                 	18956971	       126.2 ns/op	     194 B/op	       1 allocs/op
BenchmarkLibraries/zap/Parallel_4-32                 	18954546	       137.1 ns/op	     194 B/op	       1 allocs/op
BenchmarkLibraries/zap/Parallel_16-32                	19922286	       116.2 ns/op	     193 B/op	       1 allocs/op
BenchmarkLibraries/zap/Parallel_16-32                	21007814	       116.4 ns/op	     193 B/op	       1 allocs/op
BenchmarkLibraries/zap/Parallel_16-32                	19250481	       117.1 ns/op	     193 B/op	       1 allocs/op
BenchmarkLibraries/zerolog/Info_NoFields-32          	36039174	        67.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Info_NoFields-32          	37172647	        65.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Info_NoFields-32          	36714200	        64.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Info_ThreeFields-32       	15663219	       154.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Info_ThreeFields-32       	15367522	       155.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Info_ThreeFields-32       	15101528	       155.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/With_TwoFields-32         	 5173915	       480.2 ns/op	     625 B/op	       2 allocs/op
BenchmarkLibraries/zerolog/With_TwoFields-32         	 5265963	       502.9 ns/op	     625 B/op	       2 allocs/op
